robot,source,n_identical_files
2f-85 gripper,"{'matlab', 'ros-industrial'}",10
ur16e,"{'matlab', 'ros-industrial'}",2
ur3e,"{'matlab', 'ros-industrial'}",7
ur10e,"{'matlab', 'ros-industrial'}",7
ur5e,"{'matlab', 'ros-industrial'}",7
pr2,"{'random', 'matlab'}",18
anymal,"{'random', 'oems'}",8
turtlebot 2,"{'oems', 'matlab'}",2
lbr iiwa 14 r820,"{'robotics-toolbox', 'ros-industrial'}",8
pr2,"{'random', 'robotics-toolbox', 'matlab'}",5
gen3,"{'robotics-toolbox', 'oems'}",10
gen3,"{'robotics-toolbox', 'oems', 'matlab'}",7
ur5,"{'robotics-toolbox', 'ros-industrial'}",6
ur10,"{'robotics-toolbox', 'ros-industrial'}",6
ur10,"{'random', 'robotics-toolbox', 'ros-industrial'}",1
ur3,"{'robotics-toolbox', 'ros-industrial'}",7
panda,"{'robotics-toolbox', 'oems'}",10
valkyrie,"{'random', 'robotics-toolbox', 'matlab'}",52
valkyrie,"{'random', 'robotics-toolbox'}",17
fetch,"{'random', 'robotics-toolbox'}",13
