source,manufacturer,count
drake,KUKA,8
drake,Robotiq,3
drake,Boston Dynamics,2
drake,Wonik Robotics,2
drake,Willow Garage,1
matlab,Kinova Robotics,12
matlab,Universal Robots,7
matlab,ROBOTIS,7
matlab,ABB,4
matlab,Clearpath Robotics,3
matlab,Adept Mobile Robots,3
matlab,Quanser,3
matlab,Fanuc,2
matlab,Rethink Robotics,2
matlab,KUKA,2
matlab,NASA,1
matlab,Robotiq,1
matlab,Mecademic Robotics,1
matlab,Yaskawa Motoman,1
matlab,Franka Emika,1
matlab,Boston Dynamics,1
matlab,Willow Garage,1
oems,Kinova Robotics,11
oems,ROBOTIS,9
oems,Adept Mobile Robots,4
oems,Franka Emika,3
oems,Rethink Robotics,1
oems,Quanser,1
oems,Halodi,1
oems,Clearpath Robotics,1
oems,Boston Dynamics,1
oems,ANYbotics,1
random,Onrobot,6
random,Schunk,6
random,Universal Robots,2
random,Boston Dynamics,2
random,unknown,1
random,ABB,1
random,Willow Garage,1
random,ANYbotics,1
random,Fetch Robotics,1
random,Franka Emika,1
random,Halodi,1
random,KUKA,1
random,Mobile Industrial Robots,1
random,NASA,1
random,Paaila Technology,1
random,Robotiq,1
random,Star Wars Character,1
random,Barrett Technology,1
robotics-toolbox,Trossen Robotics,11
robotics-toolbox,Universal Robots,3
robotics-toolbox,Fetch Robotics,3
robotics-toolbox,ABB,3
robotics-toolbox,Kinova Robotics,2
robotics-toolbox,Franka Emika,2
robotics-toolbox,KUKA,1
robotics-toolbox,Lynxmotion,1
robotics-toolbox,NASA,1
robotics-toolbox,Unimation,1
robotics-toolbox,Willow Garage,1
ros-industrial,Fanuc,40
ros-industrial,ABB,24
ros-industrial,KUKA,14
ros-industrial,Universal Robots,12
ros-industrial,Staubli,12
ros-industrial,Robotiq,7
ros-industrial,Yaskawa Motoman,5
